"adate", "atitle", "article"
"2023-05-06", "빅테크 들 부른 백악관 안전성 책임져야", "해리스 부통령 주재 대책회의구글오픈 참석바이든도 들러 위험 최소화를구글의 모회사 알파베트의 순다르 피차이 최고경영자 왼쪽와 오픈의 샘 앨트먼 가 4일 카멀라 해리스 미 부통령의 초청으로 인공지능 관련 회의를 위해 백악관에 도착하고 있다. 백악관은 4일현지시간 첨단 기술기업 들을 백악관으로 불러 의 위험으로부터 대중을 보호할 것을 촉구했다. 2023.05.05. 워싱턴뉴시스조 바이든 미국 행정부가 구글과 마이크로소프트 등 인공지능 분야 최전선에 있는 빅테크 최고경영자를 4일현지 시간 백악관으로 초청해 의 책임 있는 혁신을 강조했다. 생성형 의 대표 주자인 챗를 필두로 기술이 급격하게 확산되는 가운데 정부 차원에서도 의 부작용을 심각하게 우려하고 있음을 드러낸 것이다. 바이든 대통령은 카멀라 해리스 부통령이 주재한 이날 회의에 잠시 들러 당신들이 하고 있는 일은 엄청난 잠재력과 위험성을 가지고 있다고 말했다. 그는 이날 자신의 트위터에 올린 글에서도 책임감 있는 혁신 그리고 사람들의 권리와 안전을 보호하는 것이 얼마나 중요한지 언급하기 위해 들렀다며 는 우리 시대의 가장 강력한 도구 중 하나이지만 기회를 잡으려면 우선 위험을 최소화해야 한다고 강조했다. 회의에는 순다르 피차이 구글 와 사티아 나델라 그리고 챗 개발사인 오픈의 샘 올트먼 와 스타트업인 앤스로픽의 다리오 아모데이 등 네 명의 업계 대표 가 참석했다. 백악관에서는 해리스 부통령과 제프 자이언츠 대통령비서실장 제이크 설리번 국가안보보좌관 레이얼 브레이너드 국가경제위원회 위원장 등이 참석했다. 이날 약 2시간 동안 이어진 회의에서 백악관은 기술과 관련된 보안과 안전 문제를 집중적으로 언급했다고 외신들은 전했다. 회의 후 해리스 부통령은 성명을 통해 민간 부문은 그들의 제품 안전성에 대한 윤리적 도덕적 법적 책임이 있다며 바이든 행정부는 에 대한 새로운 규제를 추진하고 법률적으로 지원하기 위해 최선을 다하고 있다고 언급했다.백악관 규제 시사 출시된 제품 공개평가도 나서 백악관 대책회의 정보 더 투명하게 공개해야1800억원 투자 국립 7곳 신설 2일부터 공개 일정을 잡지 않았던 바이든 대통령은 이날 집무실 바로 옆에 있는 루스벨트룸에서 열린 비공개 회의에 예고 없이 모습을 드러냈다. 바이든 대통령은 고맙다는 말을 전하려고 들렀다고 입을 뗐다. 이어 기술 발전은 중요하지만 우리 사회를 보호하는 데 가장 필요한 것이 무엇이라고 생각하는지도 우리에게 알려 달라라며 이것은 정말 정말로 중요하다고 강조했다. 바이든 시대바이든 막말 논란 낙마 1호 인사 국내 정책 총괄 맡겨바이든 차기 합참의장에 브라운 현 공군참모총장 지명할 듯바이든 다음주 선거자금 모금대선 준비 본격화하나?구독 백악관은 이후 보도자료를 통해 솔직하고 건설적인 토론이 이뤄졌다고 전했다. 미 정치전문 매체 액시오스는 바이든 대통령이 챗를 직접 사용해 본 뒤 마음을 빼앗겼다고도 전했다. 백악관은 기업들이 정보를 더 투명하게 공개하고 안전성을 검증할 수 있어야 하며 악의적 공격으로부터 제품을 보호해야 한다는 세 가지 핵심 분야가 논의됐다며 들은 국민들이 혁신의 혜택을 누릴 수 있도록 정부와 지속적으로 협력하기로 했다고 덧붙였다. 미 워싱턴포스트는 바이든 행정부가 추진할 규제의 구체적 내용은 거의 제시되지 않았다고 지적했다. 하지만 이날 회의를 계기로 미국이 전 세계적으로 이뤄지는 관련 규제 추진 움직임에 합류할 수 있다는 관측이 나온다. 현재 유럽연합은 광범위한 규제 법안을 연내에 마련하겠다고 밝혔고 한국도 9월 디지털 권리장전을 발표하기로 했다. 반면 주요 빅테크 기업을 다수 보유한 미국은 상대적으로 규제 논의에 더딘 편이다. 미 월스트리트저널은 바이든 행정부는 기술이 사생활 침해나 불평등 조장 등 상당한 위험을 수반한다고 보고 있다면서도 기술개발 경쟁이 치열해지는 상황에서 정부가 기업을 규제할 수단은 제한적이라고 분석했다. 이날 백악관은 회의가 열리기에 앞서 미 국립과학재단에서 국립연구소 7곳을 신설하는 데 1억4000만 달러약 1860억 원를 투자하겠다는 방침도 밝혔다. 백악관은 학계와 공공기관 산업계 등의 협력을 촉진해 윤리적이고 신뢰할 수 있으며 책임감 있고 공익에 기여하는 발전을 추구할 것이라고 설명했다. 현재 출시된 제품들을 공개적으로 평가하는 작업도 시작된다. 여기에는 구글을 비롯해 엔비디아 오픈 등 주요 기업들도 참여할 방침이다. 홍정수 기자 . .. .. . ?119159707 . . . . 빅테크 백악관 안전성 홍정수 기자동아일보 국제부.정치부 사회부 편집부를 거쳐 다시 정치부에서 취재중입니다. 중학생 역사성적 역대 최저 부실교육 논란머스크 트위터서 기사 보면 건당 비용 청구구독 좋아요 이미지좋아요슬퍼요 이미지슬퍼요화나요 이미지화나요공유 이미지공유기사추천 이미지기사추천공유하기닫기 동아일보 ."
"2023-05-06", " 4 탑재 빙 전면 공개 대기없이 사용", "계정 접속하면 누구나 이용 가능구글 검색서비스와 본격경쟁마이크로소프트가 인공지능 기반 대화형 검색 서비스 빙을 전면 공개하며 검색 서비스를 준비 중인 구글과의 본격적인 경쟁에 들어갔다. 는 4일현지 시간 공식 블로그를 통해 이제 새로운 빙 서비스를 대기 없이 사용할 수 있다고 밝혔다. 올해 2월 대화형 빙 시범 서비스를 공개한 지 3개월 만에 공식 출시한 것이다. 그동안 이용자가 대화형 빙 서비스를 쓰려면 대기자 명단에 등록한 뒤 의 승인 절차를 기다려야 했다. 이용자는 가 운영하는 웹브라우저 엣지에서 계정에 접속하면 바로 대화형 빙 서비스를 쓸 수 있다. 는 빙 모바일 애플리케이션앱에서도 같은 서비스를 제공한다. 새로운 빙 서비스는 챗 개발사인 오픈의 대규모 언어모델 4 등 여러 첨단 기술을 적용했다. 글뿐만 아니라 이용자가 요청하는 이미지를 생성하고 보완하는 것도 가능하다. 는 이용자가 빙 서비스로 검색하고 생성한 내용을 외부에 공유하거나 파일 형태로 저장할 수 있는 기능도 추가할 예정이다. 에 따르면 현재 대화형 빙 서비스의 일 평균 실사용자 수는 1억 명을 넘어섰다. 의 경쟁사인 구글은 10일 연례 개발자 행사 2023을 앞두고 있다. 순다르 피차이 최고경영자 등이 참여하는 이번 행사에서 새로운 기술과 서비스를 발표할 가능성이 높다. 구글은 올해 3월 기반 대화형 검색 서비스 바드를 시범 출시했고 미국 영국 한국 등 일부 지역에서만 제한적으로 공개한 상태다.지민구 기자 . .. .. . ?119159640 . . . . 4 탑재빙 지민구 기자동아일보 산업1부.신문 읽기가 취미인 신문 기자입니다. 2012년부터 기자로 활동해 정치 경제 사회 산업 분야의 다양한 사람과 사건을 둘러싼 이야기를 기록해왔습니다. 최고 권위 국제학회서 팀 최우수논문상카카오 포털 다음 사내 독립기업 분리구독 좋아요 이미지좋아요슬퍼요 이미지슬퍼요화나요 이미지화나요공유 이미지공유기사추천 이미지기사추천공유하기닫기 동아일보 ."
